patientid,statusid,name,description,staffid,datein,dateout,time_in,time_out,time_duration,census_reason_id,census_reason_txt,reason_txt,display_id
L6370,1,Duncan,Senior Exam,L6,5/4/2023 10:31:03,5/4/2023 10:49:10,10:31,10:49,18 m,,,,LVH
2822,1,Attie,Senior Exam,L12,7/27/2023 12:13:16,7/27/2023 12:35:50,12:13,12:35,22 m,,Bordetella,,LVH
25000,1,Hazel,Preventative Care Exam,L4,10/26/2022 14:54:02,10/26/2022 15:24:44,14:54,15:24,30 m,,,,LVH
L2768-4,1,Daisy,Senior Exam,L4,10/26/2022 14:54:14,10/26/2022 15:24:44,14:54,15:24,30 m,,,,LVH
L2768-3,1,Tinker Bell,Senior Exam,L4,10/26/2022 14:54:26,10/26/2022 15:24:44,14:54,15:24,30 m,,,,LVH
9886,1,Lilla,Sick,4,9/29/2022 14:36:32,9/29/2022 15:08:28,14:36,15:08,32 m,,,,MPV
9886,1,Lilla,Preventative Care Exam,4,1/12/2023 10:14:02,1/12/2023 10:49:28,10:14,10:49,35 m,,,,MPV
25356,1,Mack,Preventative Care Exam,M11,9/13/2022 11:36:06,9/13/2022 12:10:42,11:36,12:10,34 m,,,,MET
30529,1,Burt,Exotic Exam,4,12/6/2022 8:30:06,12/6/2022 9:04:56,8:30,9:04,34 m,,New pet/losing feathers,,MPV
18128,1,Pete,TNT,M6,2/10/2023 10:50:38,2/10/2023 10:59:31,10:50,10:59,9 m,,,,MET
32117,1,Wally,New Pet,M11,5/2/2023 11:47:11,5/2/2023 12:13:38,11:47,12:13,26 m,,"stray,  and fecal",,MET
18128,1,Pete,TNT,MTK,5/5/2023 10:27:28,5/5/2023 10:43:53,10:27,10:43,16 m,,,,MET
18128,1,Pete,Preventative Care Exam,M11,7/25/2023 10:48:25,7/25/2023 11:12:21,10:48,11:12,24 m,,also TNT,,MET
5154,1,Roxy,Preventative Care Exam,6,3/16/2023 15:24:20,3/16/2023 15:49:24,15:24,15:49,25 m,,,,MPV
5154,1,Roxy,Sick,16,3/29/2023 16:16:50,3/29/2023 16:59:28,16:16,16:59,43 m,,broke k9 tooth,,MPV
5154,1,Roxy,Sick,M11,6/6/2023 16:25:27,6/6/2023 17:03:53,16:25,17:03,38 m,,UTI?,,MET
31331,1,Izzie,New Client,19,2/14/2023 11:22:43,2/14/2023 12:06:44,11:22,12:06,44 m,,establish as patient,,MPV
31331,1,Izzie,Senior Exam,19,5/11/2023 13:24:59,5/11/2023 14:05:20,13:24,14:05,41 m,,,,MPV
31331,1,Izzie,Technician Appointment,TK,6/21/2023 16:20:02,6/21/2023 16:34:42,16:20,16:34,14 m,,,,MPV
26210,1,Princess,TNT,L11,8/18/2022 9:37:15,8/18/2022 9:39:08,9:37,9:39,2 m,,,,LVH
26210,1,Princess,TNT,L12,12/1/2022 11:45:17,12/1/2022 11:48:58,11:45,11:48,3 m,,,,LVH
26210,1,Princess,TNT,L24,6/14/2023 14:13:09,6/14/2023 14:16:36,14:13,14:16,3 m,,,,LVH
31706,1,Max,Exotic Exam,4,3/7/2023 15:35:27,3/7/2023 16:10:00,15:35,16:10,35 m,,scratching ears,,MPV
18307,1,Hoki,Sick,16,9/20/2022 9:29:03,9/20/2022 10:11:00,9:29,10:11,42 m,,ear infection,,MPV
18307,1,Hoki,Recheck,16,10/5/2022 16:27:15,10/5/2022 16:44:51,16:27,16:44,17 m,,,,MPV
18307,1,Hoki,Recheck,16,10/26/2022 16:24:25,10/26/2022 16:47:55,16:24,16:47,23 m,,ear- worse. discuss allergies,,MPV
27687,1,Joey,TNT,TK,10/25/2022 16:28:34,10/25/2022 16:40:00,16:28,16:39,11 m,,,,MPV
27687,1,Joey,Preventative Care Exam,11,12/19/2022 12:04:07,12/19/2022 12:56:50,12:04,12:56,52 m,,,,MPV
27687,1,Joey,TNT,TK,2/8/2023 15:41:31,2/8/2023 15:56:22,15:41,15:56,15 m,,,,MPV
30916,1,Bri,New Pet,6,4/13/2023 15:13:53,4/13/2023 15:48:15,15:13,15:48,35 m,,wellness/tnt,,MPV
27687,1,Joey,TNT,TK,4/28/2023 16:51:07,4/28/2023 17:06:09,16:51,17:06,15 m,,TNT & Sanitary Clip,,MPV
27687,1,Joey,TNT,TK,6/28/2023 15:35:43,6/28/2023 15:58:54,15:35,15:58,23 m,,TNT & Sanitary Clip,,MPV
31219,1,Buster,New Pet,6,1/16/2023 14:31:39,1/16/2023 15:15:24,14:31,15:15,44 m,,URI,,MPV
32179,2,Lilly,New Client,L6,4/27/2023 9:01:28,4/27/2023 9:19:58,9:01,9:19,18 m,,itchy,,LVH
13621-2,1,Milo,Senior Exam,4,12/5/2022 19:09:40,12/5/2022 19:42:51,19:09,19:42,33 m,,,,MPV
13621-2,1,Milo,Senior Exam,4,6/19/2023 19:14:03,6/19/2023 20:07:57,19:14,20:07,53 m,,vacc and fecal,,MPV
L3798-6,3,Chloe,Senior Exam,L16,8/8/2022 9:04:49,8/8/2022 9:48:00,9:04,9:48,44 m,,,,LVH
3024,3,Riley,Preventative Care Exam,L16,8/15/2022 11:22:31,8/15/2022 11:41:29,11:22,11:41,19 m,,vacc,,LVH
L3798-6,3,Chloe,Not Wellness,L16,12/19/2022 18:54:41,12/19/2022 19:24:52,18:54,19:24,30 m,,,,LVH
L3798-6,3,Chloe,Sick,L16,2/6/2023 9:04:32,2/6/2023 9:37:40,9:04,9:37,33 m,,not feeling well,,LVH
L3798-6,3,Chloe,Euthanasia,L11,2/23/2023 11:21:29,2/23/2023 11:39:10,11:21,11:39,18 m,,home burial,,LVH
32092,1,Ellianna (Ellie),New Pet,L16,5/1/2023 9:53:45,5/1/2023 10:17:53,9:53,10:17,24 m,,New puppy wellness,,LVH
32092,1,Ellianna (Ellie),Preventative Care Exam,L16,5/22/2023 9:49:16,5/22/2023 10:03:42,9:49,10:03,14 m,,next puppy,,LVH
32092,1,Ellianna (Ellie),Preventative Care Exam,L16,6/19/2023 9:07:37,6/19/2023 11:16:58,9:07,11:16,2 h 9 m,,final DA2PP,,LVH
3024,3,Riley,Sick,L16,6/19/2023 10:22:31,6/19/2023 11:16:58,10:22,11:16,54 m,,,,LVH
32092,1,Ellianna (Ellie),Sick,L16,7/24/2023 11:06:28,7/24/2023 11:30:47,11:06,11:30,24 m,,,,LVH
32280,1,Jack,New Pet,19,5/12/2023 9:14:19,5/12/2023 9:47:15,9:14,9:47,33 m,,,,MPV
32280,1,Jack,Surgery,19,5/23/2023 8:05:23,5/24/2023 9:01:31,8:05,9:01,1 d 0 h 56 m,,Canine castration,,MPV
32785,1,Vampi,New Client,M24,6/24/2023 8:48:51,6/24/2023 9:36:05,8:48,9:36,48 m,,NP/scratch on the eye,,MET
23327,1,Aspen,Sick,4,10/6/2022 14:53:41,10/6/2022 15:16:59,14:53,15:16,23 m,,licking feet til pink,,MPV
23327,1,Aspen,Sick,6,1/17/2023 17:31:25,1/17/2023 17:57:37,17:31,17:57,26 m,,diarrhea,,MPV
23327,1,Aspen,Preventative Care Exam,6,4/25/2023 16:43:06,4/25/2023 17:08:41,16:43,17:08,25 m,,,,MPV
23327,1,Aspen,Sick,6,5/18/2023 8:54:35,5/18/2023 9:16:38,8:54,9:16,22 m,,kennel cough,,MPV
L6882,1,Cinder,Preventative Care Exam,6,10/20/2022 9:26:07,10/20/2022 10:00:05,9:26,10:00,34 m,,,,MPV
21725,1,Daisy,Preventative Care Exam,6,10/25/2022 13:33:58,10/25/2022 13:50:20,13:33,13:50,17 m,,,,MPV
21725,1,Daisy,Lab Work,L16,10/31/2022 9:41:19,10/31/2022 9:48:44,9:41,9:48,7 m,,Lyme c6--quoted $10 blood,,LVH
21725,1,Daisy,Lab Work,L16,5/1/2023 8:27:34,5/1/2023 8:37:24,8:27,8:37,10 m,,Recheck C6,,LVH
8346,1,Afi,Sick,L19,6/16/2023 16:43:49,6/16/2023 18:05:43,16:43,18:05,1 h 22 m,,ADR,,LVH
15793,1,Lexi,Preventative Care Exam,16,7/21/2023 9:11:07,7/21/2023 10:02:03,9:11,10:02,51 m,,,,MPV
8346,1,Afi,Preventative Care Exam,11,7/21/2023 9:11:42,7/21/2023 10:02:03,9:11,10:02,51 m,,,,MPV
13565,1,Keith,Exotic Exam,16,3/15/2023 16:16:13,3/15/2023 17:15:05,16:16,17:15,59 m,,Growth on leg,,MPV
13565,1,Keith,Exotic Exam,4,3/23/2023 15:48:38,3/23/2023 16:08:12,15:48,16:08,20 m,,pre-surgical opinion,,MPV
13565,1,Keith,Surgery,4,4/3/2023 7:35:13,4/3/2023 15:33:20,7:35,15:33,7 h 58 m,,Mass Removal,,MPV
13565,1,Keith,Suture Removal,4,4/25/2023 16:47:42,4/25/2023 17:19:15,16:47,17:19,32 m,,,,MPV
30874,1,Chloe,New Pet,6,1/20/2023 10:02:07,1/20/2023 10:35:26,10:02,10:35,33 m,,first puppy,,MPV
30874,1,Chloe,Preventative Care Exam,6,2/9/2023 9:16:49,2/9/2023 9:47:30,9:16,9:47,31 m,,,,MPV
25536,3,Boots,Senior Exam,4,11/1/2022 15:06:28,11/1/2022 15:35:52,15:06,15:35,29 m,,needs methimazole,,MPV
25536,3,Boots,Sick,19,12/26/2022 10:46:57,12/26/2022 11:12:13,10:46,11:12,26 m,,weight loss/ADR,,MPV
31887,1,Karl,New Pet,24,3/29/2023 9:24:21,3/29/2023 10:43:35,9:24,10:43,1 h 19 m,,,,MPV
31888,1,Lucille,New Pet,24,3/29/2023 9:24:31,3/29/2023 10:43:35,9:24,10:43,1 h 19 m,,,,MPV
31887,1,Karl,Preventative Care Exam,24,4/19/2023 8:17:51,4/19/2023 9:00:58,8:17,9:00,43 m,,next RCP & Leukemia,,MPV
31888,1,Lucille,Preventative Care Exam,24,4/19/2023 8:18:05,4/19/2023 9:00:58,8:18,9:00,42 m,,next RCP & Leukemia,,MPV
31887,1,Karl,Preventative Care Exam,19,5/10/2023 8:24:14,5/10/2023 9:08:53,8:24,9:08,44 m,,next RCP,,MPV
31888,1,Lucille,Preventative Care Exam,19,5/10/2023 8:24:21,5/10/2023 9:08:53,8:24,9:08,44 m,,next RCP,,MPV
31887,1,Karl,Short Procedure,16,7/5/2023 8:07:27,7/5/2023 15:13:37,8:07,15:13,7 h 6 m,,Feline castration,,MPV
31888,1,Lucille,Surgery,16,7/12/2023 7:53:10,7/13/2023 11:11:36,7:53,11:11,1 d 3 h 18 m,,Feline OVH,,MPV
7436,1,Captain,Senior Exam,16,3/3/2023 8:15:47,3/3/2023 8:37:32,8:15,8:37,22 m,,,,MPV
17690,1,Emma,Sick,24,5/8/2023 12:59:28,5/8/2023 13:55:37,12:59,13:55,56 m,,vomitting,,MPV
17690,1,Emma,Dental,24,7/6/2023 7:30:55,7/6/2023 16:00:05,7:30,16:00,8 h 30 m,,Grade II OAT,,MPV
20701,1,Phineas,Preventative Care Exam,19,8/8/2022 10:24:24,8/8/2022 10:56:30,10:24,10:56,32 m,,,,MPV
27190,1,Phoebe,Preventative Care Exam,19,8/8/2022 10:24:35,8/8/2022 10:56:30,10:24,10:56,32 m,,,,MPV
10654,1,Nyxie,Preventative Care Exam,11,6/26/2023 10:28:58,6/26/2023 11:02:42,10:28,11:02,34 m,,,,MPV
