"patientid","description","staffid","datein","dateout","visit_details","location","app_type","app_subtype","duration_min","details"
"7901","emergency","6",2022-09-08 13:44:30,2022-09-08 15:08:03,NA,"mpv","doctor",NA,84,"emergency"
"7901","sick","4",2022-12-22 09:52:06,2022-12-22 10:40:40,"was at pets","mpv","doctor",NA,49,"sick"
"7901","senior exam","6",2023-07-26 13:44:34,2023-07-26 14:28:13,NA,"mpv","doctor",NA,44,"senior exam"
"19516","preventative care exam","24",2023-06-15 09:25:48,2023-06-15 09:47:29,"also age","mpv","doctor",NA,22,"preventative care exam"
"22988","sick","19",2022-10-27 16:13:42,2022-10-27 16:52:59,NA,"mpv","doctor",NA,39,"sick"
"22988","sick","4",2022-12-06 09:01:36,2022-12-06 13:08:10,"apply splint","mpv","doctor",NA,247,"sick"
"22988","recheck","16",2022-12-16 14:43:51,2022-12-16 15:25:18,NA,"mpv","doctor",NA,41,"recheck"
"22988","recheck","16",2023-01-13 16:39:58,2023-01-13 17:44:24,"leg/bandage change","mpv","doctor",NA,64,"recheck"
"22988","recheck","16",2023-01-27 17:03:22,2023-01-27 17:58:53,NA,"mpv","doctor",NA,56,"recheck"
"22988","recheck","16",2023-01-30 16:49:09,2023-01-30 17:23:08,"bandage","lvh","doctor",NA,34,"recheck"
"22988","recheck","16",2023-02-03 14:47:06,2023-02-03 15:17:35,"bandage","mpv","doctor",NA,30,"recheck"
"32531","new client","11",2023-06-09 11:50:52,2023-06-09 11:52:25,"establish vet/ vaccines","met","doctor",NA,2,"new client"
"32531","new client","11",2023-06-09 12:03:24,2023-06-09 13:06:33,"establish vet/ vaccines","met","doctor",NA,63,"new client"
"32531","technician appointment","11",2023-07-28 12:34:35,2023-07-28 12:52:10,"1st lyme lep flu","met","tech_app",NA,18,"misc tech appointment"
"l6890-1","sick","16",2023-01-23 09:03:46,2023-01-23 09:17:58,"cyst","lvh","doctor",NA,14,"sick"
"l6890-1","unknown","16",2023-03-03 15:27:14,2023-03-03 16:01:47,NA,"mpv","doctor/admit",NA,35,NA
"l6890-1","surgery","4",2023-03-09 08:07:56,2023-03-09 17:04:13,"oral mass removal","mpv","admit",NA,536,NA
"l6890-1","recheck","16",2023-05-11 14:57:53,2023-05-11 15:47:34,NA,"mpv","doctor",NA,50,"recheck"
"l6890-1","recheck","6",2023-05-19 16:24:59,2023-05-19 16:53:51,"found new lump/painful","mpv","doctor",NA,29,"recheck"
"l6890-1","euthanasia","11",2023-06-10 13:08:40,2023-06-10 14:15:20,NA,"mpv","doctor",NA,67,NA
"15729-7","senior exam","16",2022-10-04 16:56:13,2022-10-04 18:08:24,NA,"mpv","doctor",NA,72,"senior exam"
"15729-7","lab work","16",2022-11-03 08:37:02,2022-11-03 17:55:38,"lddst/bp","mpv","tech_app",NA,559,"lab work"
"15729-7","recheck","16",2022-11-16 09:05:34,2022-11-16 09:51:27,NA,"mpv","doctor",NA,46,"recheck"
"15729-7","sick","19",2023-03-10 09:34:38,2023-03-10 10:19:21,"vomitng","mpv","doctor",NA,45,"sick"
"15729-7","sick","16",2023-03-18 13:13:23,2023-03-18 14:06:55,"vomiting again","mpv","doctor",NA,54,"sick"
"15729-7","sick","11",2023-04-12 18:17:20,2023-04-12 19:22:26,"diarrhea","mpv","doctor",NA,65,"sick"
"15729-7","recheck","16",2023-04-19 13:56:46,2023-04-19 14:45:03,"and bord if ok","mpv","doctor",NA,48,"recheck"
"17074","preventative care exam","19",2022-10-04 10:29:15,2022-10-04 11:04:11,"am i pregnant?","mpv","doctor",NA,35,"preventative care exam"
"17074","technician appointment","tk",2022-10-13 10:54:52,2022-10-13 11:16:30,"xrays","mpv","tech_app",NA,22,"misc tech appointment"
"17074","surgery","4",2023-05-08 09:00:26,2023-05-09 11:35:12,"canine ovh","mpv","admit",NA,1595,NA
"2510","senior exam","16",2023-04-28 08:25:38,2023-04-28 09:26:57,"sudden weight gain","mpv","doctor",NA,61,"senior exam"
"9963","sick","16",2022-08-24 10:44:16,2022-08-24 11:19:36,NA,"mpv","doctor",NA,35,"sick"
"753","senior exam","16",2023-04-28 08:24:35,2023-04-28 09:28:14,"painful abdomen???","mpv","doctor",NA,64,"senior exam"
"17909","sick","19",2022-10-14 16:55:27,2022-10-14 17:40:02,NA,"mpv","doctor",NA,45,"sick"
"18357","sick","4",2022-10-24 09:11:22,2022-10-24 09:38:55,"ate burrs  vomiting","mpv","doctor",NA,28,"sick"
"17909","unknown","tk",2022-10-24 15:42:03,2022-10-24 16:03:57,NA,"mpv","tech_app",NA,22,"misc tech appointment"
"17909","sick","19",2022-10-27 17:35:10,2022-10-27 17:59:26,"libre is not working","mpv","doctor",NA,24,"sick"
"18357","sick","19",2022-10-27 18:04:26,2022-10-27 18:49:24,"abcess","mpv","doctor",NA,45,"sick"
"17909","drop off - admit","19",2022-10-31 07:33:33,2022-10-31 19:01:38,"glucose curve","mpv","admit",NA,688,NA
"18357","recheck","19",2022-11-10 19:07:31,2022-11-10 19:23:26,"skin","mpv","doctor",NA,16,"recheck"
"17910","sick","19",2023-01-14 10:10:21,2023-01-14 11:01:51,"not eating much/sore mouth","met","doctor",NA,52,"sick"
"17910","recheck","19",2023-02-02 16:25:19,2023-02-02 17:43:11,NA,"mpv","doctor",NA,78,"recheck"
"17909","sick","6",2023-03-02 16:39:25,2023-03-02 16:59:46,NA,"mpv","doctor",NA,20,"sick"
"17909","senior exam","4",2023-03-27 19:12:47,2023-03-27 19:49:09,NA,"mpv","doctor",NA,36,"senior exam"
"18357","preventative care exam","6",2023-05-23 18:05:29,2023-05-23 18:24:26,NA,"mpv","doctor",NA,19,"preventative care exam"
"17910","preventative care exam","11",2023-05-24 18:36:10,2023-05-24 18:58:16,NA,"mpv","doctor",NA,22,"preventative care exam"
"16347","sick","4",2022-08-29 16:38:17,2022-08-29 17:08:52,NA,"mpv","doctor",NA,31,"sick"
"16347","senior exam","4",2022-12-14 13:27:43,2022-12-14 14:00:00,"vacc","lvh","doctor",NA,32,"senior exam"
"16347","recheck","4",2023-01-23 18:13:49,2023-01-23 19:24:03,NA,"mpv","doctor",NA,70,"recheck"
"23075","preventative care exam","19",2023-05-12 12:46:49,2023-05-12 13:16:56,NA,"mpv","doctor",NA,30,"preventative care exam"
"20782","preventative care exam","24",2023-05-08 10:00:52,2023-05-08 10:42:50,NA,"mpv","doctor",NA,42,"preventative care exam"
"20782","sick","16",2023-06-08 09:16:16,2023-06-08 09:48:30,"injured ear","mpv","doctor",NA,32,"sick"
"17011","lab work","tk",2022-11-22 09:22:05,2022-11-22 09:32:24,NA,"mpv","tech_app",NA,10,"lab work"
"17011","preventative care exam","19",2023-03-06 09:38:32,2023-03-06 10:07:24,NA,"mpv","doctor",NA,29,"preventative care exam"
"17011","sick","6",2023-04-25 18:18:16,2023-04-25 18:58:28,"licking paw raw","mpv","doctor",NA,40,"sick"
"23647","sick","4",2023-03-08 15:39:09,2023-03-08 16:15:37,NA,"lvh","doctor",NA,36,"sick"
"23647","dental","4",2023-03-13 08:35:33,2023-03-13 16:41:40,"dental","mpv","admit",NA,486,NA
"23647","recheck","4",2023-03-22 14:08:52,2023-03-22 14:33:20,NA,"lvh","doctor",NA,24,"recheck"
"23647","technician appointment","24",2023-05-24 15:41:40,2023-05-24 15:50:12,"anals","lvh","tech_app",NA,9,"misc tech appointment"
"30690","new client","16",2022-12-12 18:18:29,2022-12-12 19:04:56,NA,"lvh","doctor",NA,46,"new client"
"27553","sick","19",2022-10-06 14:54:28,2022-10-06 15:16:47,"scabs in his nose","mpv","doctor",NA,22,"sick"
"27553","sick","19",2022-11-15 10:33:27,2022-11-15 11:11:42,"getting worse","mpv","doctor",NA,38,"sick"
"27553","sick","19",2022-12-29 14:35:12,2022-12-29 14:54:28,"check gums","mpv","doctor",NA,19,"sick"
"27553","dental","19",2023-01-31 07:35:21,2023-01-31 19:21:35,"extractions","mpv","admit",NA,706,NA
"27553","recheck","19",2023-02-01 08:43:57,2023-02-01 08:55:54,NA,"mpv","doctor",NA,12,"recheck"
"31369","new pet","11",2023-02-07 11:50:57,2023-02-07 12:36:27,"puppy wellness","met","doctor",NA,46,"new pet"
"31369","sick","11",2023-02-10 14:54:48,2023-02-10 15:37:13,"v/d","met","doctor",NA,42,"sick"
"31369","preventative care exam","11",2023-02-28 10:35:23,2023-02-28 10:50:04,"next puppy vx","met","doctor",NA,15,"preventative care exam"
"31369","sick","11",2023-04-07 11:29:44,2023-04-07 11:57:03,"urinary","met","doctor",NA,27,"sick"
"27553","preventative care exam","24",2023-05-08 12:54:16,2023-05-08 13:21:41,NA,"mpv","doctor",NA,27,"preventative care exam"
"30309","new client","4",2022-10-28 17:16:22,2022-10-28 18:01:13,NA,"mpv","doctor",NA,45,"new client"
"30309","sick","19",2022-12-29 13:42:03,2022-12-29 14:16:46,"eye drainage","mpv","doctor",NA,35,"sick"
"30309","sick","6",2023-02-17 14:15:20,2023-02-17 14:40:54,"injured back leg","mpv","doctor",NA,26,"sick"
"30309","recheck","6",2023-02-21 19:13:59,2023-02-21 20:06:37,"xrays next step","mpv","doctor",NA,53,"recheck"
"30309","sick","6",2023-03-31 16:18:32,2023-03-31 16:51:14,"not eating","mpv","doctor",NA,33,"sick"
"30309","sick","4",2023-07-14 09:53:09,2023-07-14 10:21:42,"uri","mpv","doctor",NA,29,"sick"
"6497-2","senior exam","4",2022-08-04 09:42:22,2022-08-04 10:15:07,"senior wellness & vaccines","mpv","doctor",NA,33,"senior exam"
"6497-2","drop off - admit","16",2022-09-01 09:59:35,2022-09-01 14:12:47,"dropping off @ 10 am","mpv","admit",NA,253,NA
"6497-2","sick","6",2022-09-06 12:14:35,2022-09-06 12:43:07,"bleeding near rectum","mpv","doctor",NA,29,"sick"
"6497-2","recheck","6",2022-09-20 12:21:58,2022-09-20 12:45:20,NA,"mpv","doctor",NA,23,"recheck"
"6497-2","sick","11",2022-11-11 11:37:40,2022-11-11 12:20:53,"eye infection","mpv","doctor",NA,43,"sick"
"6497-2","recheck","6",2022-11-29 16:36:16,2022-11-29 17:00:17,NA,"mpv","doctor",NA,24,"recheck"
"6497-2","recheck","6",2022-12-06 12:21:54,2022-12-06 12:34:08,"eyes","mpv","doctor",NA,12,"recheck"
"6497-2","recheck","6",2022-12-13 12:20:20,2022-12-13 12:32:48,"eyes","mpv","doctor",NA,12,"recheck"
"6497-2","sick","6",2023-01-17 13:18:48,2023-01-17 13:51:24,"left eye","mpv","doctor",NA,33,"sick"
"6497-2","sick","6",2023-03-21 11:57:14,2023-03-21 12:29:27,"ear infection","mpv","doctor",NA,32,"sick"
"6497-2","senior exam","6",2023-06-28 12:05:45,2023-06-28 12:33:15,NA,"mpv","doctor",NA,28,"senior exam"
"l5349","sick","12",2022-09-01 10:49:58,2022-09-01 11:22:12,NA,"lvh","doctor",NA,32,"sick"
"l5349","sick","6",2023-02-20 18:37:37,2023-02-20 19:13:44,"dripping blood & 'clots'","mpv","doctor",NA,36,"sick"
"l6941","sick","19",2022-10-12 13:24:03,2022-10-12 14:03:00,NA,"lvh","doctor",NA,39,"sick"
"12358","preventative care exam","19",2022-12-02 09:04:43,2022-12-02 09:23:45,NA,"lvh","doctor",NA,19,"preventative care exam"
"29790","new pet","12",2022-12-06 09:23:03,2022-12-06 10:02:18,"urinary issues","lvh","doctor",NA,39,"new pet"
"29790","radiology","tk",2022-12-26 13:48:36,2022-12-26 14:07:00,"abdomen/bladder rads","mpv","tech_app",NA,18,"misc tech appointment"
"29790","radiology","tk",2023-02-28 09:20:26,2023-02-28 09:30:03,NA,"mpv","tech_app",NA,10,"misc tech appointment"
"29790","surgery","4",2023-04-11 08:01:00,2023-04-12 09:03:05,"removing bladder stones","mpv","admit",NA,1502,NA
"20515-1","tnt","tk",2022-11-14 17:35:55,2022-11-14 17:48:20,NA,"mpv","tech_app",NA,12,"tnt"
"20515-1","sick","6",2022-12-20 17:53:46,2022-12-20 18:26:43,"possible uti.","mpv","doctor",NA,33,"sick"
"20515-1","senior exam","11",2023-02-15 19:01:45,2023-02-15 19:43:06,"vacc, fecal and tnt","mpv","doctor",NA,41,"senior exam"
"20515-1","tnt","tk",2023-05-03 17:51:46,2023-05-03 18:09:47,NA,"mpv","tech_app",NA,18,"tnt"
"6879","preventative care exam","19",2022-09-02 15:11:00,2022-09-02 15:35:51,NA,"lvh","doctor",NA,25,"preventative care exam"
"6879","sick","11",2023-05-26 14:50:43,2023-05-26 15:15:38,"weight loss","met","doctor",NA,25,"sick"
"14408","sick","19",2022-11-18 13:10:08,2022-11-18 13:44:47,NA,"lvh","doctor",NA,35,"sick"
"14408","senior exam","19",2023-03-03 15:01:46,2023-03-03 15:22:08,NA,"lvh","doctor",NA,20,"senior exam"
"14408","sick","12",2023-04-25 15:47:19,2023-04-25 16:16:17,NA,"lvh","doctor",NA,29,"sick"
"l6370","senior exam","6",2023-05-04 10:31:03,2023-05-04 10:49:10,NA,"lvh","doctor",NA,18,"senior exam"
"2822","senior exam","12",2023-07-27 12:13:16,2023-07-27 12:35:50,"bordetella","lvh","doctor",NA,23,"senior exam"
"25000","preventative care exam","4",2022-10-26 14:54:02,2022-10-26 15:24:44,NA,"lvh","doctor",NA,31,"preventative care exam"
"l2768-4","senior exam","4",2022-10-26 14:54:14,2022-10-26 15:24:44,NA,"lvh","doctor",NA,30,"senior exam"
"l2768-3","senior exam","4",2022-10-26 14:54:26,2022-10-26 15:24:44,NA,"lvh","doctor",NA,30,"senior exam"
"9886","sick","4",2022-09-29 14:36:32,2022-09-29 15:08:28,NA,"mpv","doctor",NA,32,"sick"
"9886","preventative care exam","4",2023-01-12 10:14:02,2023-01-12 10:49:28,NA,"mpv","doctor",NA,35,"preventative care exam"
"25356","preventative care exam","11",2022-09-13 11:36:06,2022-09-13 12:10:42,NA,"met","doctor",NA,35,"preventative care exam"
"30529","exotic exam","4",2022-12-06 08:30:06,2022-12-06 09:04:56,"new pet/losing feathers","mpv","doctor",NA,35,"exotic exam"
"18128","tnt","6",2023-02-10 10:50:38,2023-02-10 10:59:31,NA,"met","tech_app",NA,9,"tnt"
"32117","new pet","11",2023-05-02 11:47:11,2023-05-02 12:13:38,"stray,  and fecal","met","doctor",NA,26,"new pet"
"18128","tnt","tk",2023-05-05 10:27:28,2023-05-05 10:43:53,NA,"met","tech_app",NA,16,"tnt"
"18128","preventative care exam","11",2023-07-25 10:48:25,2023-07-25 11:12:21,"also tnt","met","doctor",NA,24,"preventative care exam"
"5154","preventative care exam","6",2023-03-16 15:24:20,2023-03-16 15:49:24,NA,"mpv","doctor",NA,25,"preventative care exam"
"5154","sick","16",2023-03-29 16:16:50,2023-03-29 16:59:28,"broke k9 tooth","mpv","doctor",NA,43,"sick"
"5154","sick","11",2023-06-06 16:25:27,2023-06-06 17:03:53,"uti?","met","doctor",NA,38,"sick"
"31331","new client","19",2023-02-14 11:22:43,2023-02-14 12:06:44,"establish as patient","mpv","doctor",NA,44,"new client"
"31331","senior exam","19",2023-05-11 13:24:59,2023-05-11 14:05:20,NA,"mpv","doctor",NA,40,"senior exam"
"31331","technician appointment","tk",2023-06-21 16:20:02,2023-06-21 16:34:42,NA,"mpv","tech_app",NA,15,"misc tech appointment"
"26210","tnt","11",2022-08-18 09:37:15,2022-08-18 09:39:08,NA,"lvh","tech_app",NA,2,"tnt"
"26210","tnt","12",2022-12-01 11:45:17,2022-12-01 11:48:58,NA,"lvh","tech_app",NA,4,"tnt"
"26210","tnt","24",2023-06-14 14:13:09,2023-06-14 14:16:36,NA,"lvh","tech_app",NA,3,"tnt"
"31706","exotic exam","4",2023-03-07 15:35:27,2023-03-07 16:10:00,"scratching ears","mpv","doctor",NA,35,"exotic exam"
"18307","sick","16",2022-09-20 09:29:03,2022-09-20 10:11:00,"ear infection","mpv","doctor",NA,42,"sick"
"18307","recheck","16",2022-10-05 16:27:15,2022-10-05 16:44:51,NA,"mpv","doctor",NA,18,"recheck"
"18307","recheck","16",2022-10-26 16:24:25,2022-10-26 16:47:55,"ear- worse. discuss allergies","mpv","doctor",NA,24,"recheck"
"27687","tnt","tk",2022-10-25 16:28:34,2022-10-25 16:40:00,NA,"mpv","tech_app",NA,11,"tnt"
"27687","preventative care exam","11",2022-12-19 12:04:07,2022-12-19 12:56:50,NA,"mpv","doctor",NA,53,"preventative care exam"
"27687","tnt","tk",2023-02-08 15:41:31,2023-02-08 15:56:22,NA,"mpv","tech_app",NA,15,"tnt"
"30916","new pet","6",2023-04-13 15:13:53,2023-04-13 15:48:15,"wellness/tnt","mpv","doctor",NA,34,"new pet"
"27687","tnt","tk",2023-04-28 16:51:07,2023-04-28 17:06:09,"tnt & sanitary clip","mpv","tech_app",NA,15,"tnt"
"27687","tnt","tk",2023-06-28 15:35:43,2023-06-28 15:58:54,"tnt & sanitary clip","mpv","tech_app",NA,23,"tnt"
"31219","new pet","6",2023-01-16 14:31:39,2023-01-16 15:15:24,"uri","mpv","doctor",NA,44,"new pet"
"32179","new client","6",2023-04-27 09:01:28,2023-04-27 09:19:58,"itchy","lvh","doctor",NA,18,"new client"
"13621-2","senior exam","4",2022-12-05 19:09:40,2022-12-05 19:42:51,NA,"mpv","doctor",NA,33,"senior exam"
"13621-2","senior exam","4",2023-06-19 19:14:03,2023-06-19 20:07:57,"vacc and fecal","mpv","doctor",NA,54,"senior exam"
"l3798-6","senior exam","16",2022-08-08 09:04:49,2022-08-08 09:48:00,NA,"lvh","doctor",NA,43,"senior exam"
"3024","preventative care exam","16",2022-08-15 11:22:31,2022-08-15 11:41:29,"vacc","lvh","doctor",NA,19,"preventative care exam"
"l3798-6","sick","16",2022-12-19 18:54:41,2022-12-19 19:24:52,NA,"lvh","doctor",NA,30,"sick"
"l3798-6","sick","16",2023-02-06 09:04:32,2023-02-06 09:37:40,"not feeling well","lvh","doctor",NA,33,"sick"
"l3798-6","euthanasia","11",2023-02-23 11:21:29,2023-02-23 11:39:10,"home burial","lvh","doctor",NA,18,NA
"32092","new pet","16",2023-05-01 09:53:45,2023-05-01 10:17:53,"new puppy wellness","lvh","doctor",NA,24,"new pet"
"32092","preventative care exam","16",2023-05-22 09:49:16,2023-05-22 10:03:42,"next puppy","lvh","doctor",NA,14,"preventative care exam"
"32092","preventative care exam","16",2023-06-19 09:07:37,2023-06-19 11:16:58,"final da2pp","lvh","doctor",NA,129,"preventative care exam"
"3024","sick","16",2023-06-19 10:22:31,2023-06-19 11:16:58,NA,"lvh","doctor",NA,54,"sick"
"32092","sick","16",2023-07-24 11:06:28,2023-07-24 11:30:47,NA,"lvh","doctor",NA,24,"sick"
"32280","new pet","19",2023-05-12 09:14:19,2023-05-12 09:47:15,NA,"mpv","doctor",NA,33,"new pet"
"32280","surgery","19",2023-05-23 08:05:23,2023-05-24 09:01:31,"canine castration","mpv","admit",NA,1496,NA
"32785","new client","24",2023-06-24 08:48:51,2023-06-24 09:36:05,"np/scratch on the eye","met","doctor",NA,47,"new client"
"23327","sick","4",2022-10-06 14:53:41,2022-10-06 15:16:59,"licking feet til pink","mpv","doctor",NA,23,"sick"
"23327","sick","6",2023-01-17 17:31:25,2023-01-17 17:57:37,"diarrhea","mpv","doctor",NA,26,"sick"
"23327","preventative care exam","6",2023-04-25 16:43:06,2023-04-25 17:08:41,NA,"mpv","doctor",NA,26,"preventative care exam"
"23327","sick","6",2023-05-18 08:54:35,2023-05-18 09:16:38,"kennel cough","mpv","doctor",NA,22,"sick"
"l6882","preventative care exam","6",2022-10-20 09:26:07,2022-10-20 10:00:05,NA,"mpv","doctor",NA,34,"preventative care exam"
"21725","preventative care exam","6",2022-10-25 13:33:58,2022-10-25 13:50:20,NA,"mpv","doctor",NA,16,"preventative care exam"
"21725","lab work","16",2022-10-31 09:41:19,2022-10-31 09:48:44,"lyme c6--quoted $10 blood","lvh","tech_app",NA,7,"lab work"
"21725","lab work","16",2023-05-01 08:27:34,2023-05-01 08:37:24,"recheck c6","lvh","tech_app",NA,10,"lab work"
"8346","sick","19",2023-06-16 16:43:49,2023-06-16 18:05:43,"adr","lvh","doctor",NA,82,"sick"
"15793","preventative care exam","16",2023-07-21 09:11:07,2023-07-21 10:02:03,NA,"mpv","doctor",NA,51,"preventative care exam"
"8346","preventative care exam","11",2023-07-21 09:11:42,2023-07-21 10:02:03,NA,"mpv","doctor",NA,50,"preventative care exam"
"13565","exotic exam","16",2023-03-15 16:16:13,2023-03-15 17:15:05,"growth on leg","mpv","doctor",NA,59,"exotic exam"
"13565","exotic exam","4",2023-03-23 15:48:38,2023-03-23 16:08:12,"pre-surgical opinion","mpv","doctor",NA,20,"exotic exam"
"13565","surgery","4",2023-04-03 07:35:13,2023-04-03 15:33:20,"mass removal","mpv","admit",NA,478,NA
"13565","suture removal","4",2023-04-25 16:47:42,2023-04-25 17:19:15,NA,"mpv","doctor",NA,32,"suture removal"
"30874","new pet","6",2023-01-20 10:02:07,2023-01-20 10:35:26,"first puppy","mpv","doctor",NA,33,"new pet"
"30874","preventative care exam","6",2023-02-09 09:16:49,2023-02-09 09:47:30,NA,"mpv","doctor",NA,31,"preventative care exam"
"25536","senior exam","4",2022-11-01 15:06:28,2022-11-01 15:35:52,"needs methimazole","mpv","doctor",NA,29,"senior exam"
"25536","sick","19",2022-12-26 10:46:57,2022-12-26 11:12:13,"weight loss/adr","mpv","doctor",NA,25,"sick"
"31887","new pet","24",2023-03-29 09:24:21,2023-03-29 10:43:35,NA,"mpv","doctor",NA,79,"new pet"
"31888","new pet","24",2023-03-29 09:24:31,2023-03-29 10:43:35,NA,"mpv","doctor",NA,79,"new pet"
"31887","preventative care exam","24",2023-04-19 08:17:51,2023-04-19 09:00:58,"next rcp & leukemia","mpv","doctor",NA,43,"preventative care exam"
"31888","preventative care exam","24",2023-04-19 08:18:05,2023-04-19 09:00:58,"next rcp & leukemia","mpv","doctor",NA,43,"preventative care exam"
"31887","preventative care exam","19",2023-05-10 08:24:14,2023-05-10 09:08:53,"next rcp","mpv","doctor",NA,45,"preventative care exam"
"31888","preventative care exam","19",2023-05-10 08:24:21,2023-05-10 09:08:53,"next rcp","mpv","doctor",NA,45,"preventative care exam"
"31887","short procedure","16",2023-07-05 08:07:27,2023-07-05 15:13:37,"feline castration","mpv","admit",NA,426,NA
"31888","surgery","16",2023-07-12 07:53:10,2023-07-13 11:11:36,"feline ovh","mpv","admit",NA,1638,NA
"7436","senior exam","16",2023-03-03 08:15:47,2023-03-03 08:37:32,NA,"mpv","doctor",NA,22,"senior exam"
"17690","sick","24",2023-05-08 12:59:28,2023-05-08 13:55:37,"vomitting","mpv","doctor",NA,56,"sick"
"17690","dental","24",2023-07-06 07:30:55,2023-07-06 16:00:05,"grade ii oat","mpv","admit",NA,509,NA
"20701","preventative care exam","19",2022-08-08 10:24:24,2022-08-08 10:56:30,NA,"mpv","doctor",NA,32,"preventative care exam"
"27190","preventative care exam","19",2022-08-08 10:24:35,2022-08-08 10:56:30,NA,"mpv","doctor",NA,32,"preventative care exam"
"10654","preventative care exam","11",2023-06-26 10:28:58,2023-06-26 11:02:42,NA,"mpv","doctor",NA,34,"preventative care exam"
"10654","preventative care exam","11",2023-06-28 15:45:24,2023-06-28 16:09:05,"wellness on chill","mpv","doctor",NA,24,"preventative care exam"
"11006","sick","16",2022-11-19 11:12:08,2022-11-19 12:13:43,"vomiting for a month","mpv","doctor",NA,62,"sick"
"11006","recheck","16",2022-12-09 16:26:48,2022-12-09 17:15:37,NA,"mpv","doctor",NA,49,"recheck"
"11006","sick","6",2023-05-03 15:52:45,2023-05-03 16:17:10,"uri flare up","mpv","doctor",NA,24,"sick"
"25552","preventative care exam","6",2022-10-07 10:56:56,2022-10-07 11:11:36,NA,"mpv","doctor",NA,15,"preventative care exam"
"25552","technician appointment","tk",2023-01-26 16:11:38,2023-01-26 16:19:36,"lyme & lepto","mpv","tech_app",NA,8,"misc tech appointment"
"26014","technician appointment","tk",2022-09-08 10:46:21,2022-09-08 11:14:46,"cytopoint","mpv","tech_app",NA,28,"misc tech appointment"
"25952","preventative care exam","11",2022-11-22 12:16:21,2022-11-22 12:50:54,NA,"met","doctor",NA,35,"preventative care exam"
"26014","sick","11",2023-01-23 11:30:12,2023-01-23 11:59:39,"mucus on stools, drinking","mpv","doctor",NA,29,"sick"
"26014","technician appointment","tk",2023-03-07 09:12:52,2023-03-07 09:41:20,"cytopoint inj.","mpv","tech_app",NA,28,"misc tech appointment"
"25952","sick","4",2023-03-07 09:13:01,2023-03-07 09:41:20,"allergies/belly","mpv","doctor",NA,28,"sick"
"26014","lab work","tk",2023-05-01 09:34:07,2023-05-01 09:44:35,"il10139 blood work","mpv","tech_app",NA,10,"lab work"
"26014","sick","11",2023-06-12 12:46:18,2023-06-12 14:02:13,"diarrhea","mpv","doctor",NA,76,"sick"
"25952","sick","11",2023-07-28 16:23:57,2023-07-28 16:55:03,NA,"met","doctor",NA,31,"sick"
"31354","new client","24",2023-02-20 08:26:55,2023-02-20 09:09:42,NA,"mpv","doctor",NA,43,"new client"
"31354","technician appointment","tk",2023-03-13 09:27:22,2023-03-13 09:33:32,"2nd leuk","mpv","tech_app",NA,6,"misc tech appointment"
"30321","new client","11",2022-11-04 10:52:50,2022-11-04 11:29:27,NA,"met","doctor",NA,37,"new client"
"30321","preventative care exam","11",2022-12-06 16:21:10,2022-12-06 16:46:32,"next kitten","met","doctor",NA,25,"preventative care exam"
"30321","short procedure","4",2023-02-13 07:40:52,2023-02-13 18:38:29,"feline castration","mpv","admit",NA,658,NA
